seq,key,time,price,size,sequence,bid,ask,last,bidSize,askSize,lastSize,quoteTime,tradeTime,level,bidIncr,askIncr,TimeDate,TradeDate,QuoteDate
49832,QQQ,1603323680390,283.64,200,127153,283.57,283.65,0,0,0,0,0,0,4,0,0,10/21/2020 7:41:20 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49833,QQQ,1603323680390,283.64,200,127154,283.57,283.65,0,0,0,0,0,0,4,0,0,10/21/2020 7:41:20 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49834,QQQ,1603323680390,283.65,100,127155,283.57,283.65,0,0,0,0,0,0,4,0,0,10/21/2020 7:41:20 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49835,QQQ,1603323690277,283.57,200,127156,283.57,283.6,0,0,0,0,0,0,2,0,0,10/21/2020 7:41:30 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49836,QQQ,1603323690277,283.57,600,127157,283.57,283.6,0,0,0,0,0,0,2,0,0,10/21/2020 7:41:30 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49837,QQQ,1603323691223,283.5,500,127158,283.5,283.54,0,0,0,0,0,0,2,0,0,10/21/2020 7:41:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49838,QQQ,1603323691223,283.5,100,127159,283.5,283.54,0,0,0,0,0,0,2,0,0,10/21/2020 7:41:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49839,QQQ,1603323691223,283.5,400,127160,283.5,283.54,0,0,0,0,0,0,2,0,0,10/21/2020 7:41:31 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49840,QQQ,1603323694144,283.7,100,127161,283.63,283.7,0,0,0,0,0,0,4,0,0,10/21/2020 7:41:34 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49841,QQQ,1603323694490,283.7,600,127162,283.63,283.7,0,0,0,0,0,0,4,0,0,10/21/2020 7:41:34 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49842,QQQ,1603323696513,283.62,200,127163,283.62,283.69,0,0,0,0,0,0,2,0,0,10/21/2020 7:41:36 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49843,QQQ,1603323696514,283.62,200,127164,283.62,283.69,0,0,0,0,0,0,2,0,0,10/21/2020 7:41:36 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49844,QQQ,1603323696514,283.62,200,127165,283.62,283.69,0,0,0,0,0,0,2,0,0,10/21/2020 7:41:36 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49845,QQQ,1603323696515,283.62,146,127166,283.62,283.69,0,0,0,0,0,0,2,0,0,10/21/2020 7:41:36 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49846,QQQ,1603323709222,283.7,7,127167,283.6,283.66,0,0,0,0,0,0,5,0,0,10/21/2020 7:41:49 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49847,QQQ,1603323709222,283.68,7,127168,283.6,283.66,0,0,0,0,0,0,5,0,0,10/21/2020 7:41:49 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49848,QQQ,1603323717226,283.71,7,127169,283.64,283.7,0,0,0,0,0,0,5,0,0,10/21/2020 7:41:57 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49849,QQQ,1603323729923,283.63,1,127170,283.63,283.68,0,0,0,0,0,0,2,0,0,10/21/2020 7:42:09 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49850,QQQ,1603323736783,283.68,500,127171,283.68,283.68,0,0,0,0,0,0,2,0,0,10/21/2020 7:42:16 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49851,QQQ,1603323741432,283.77,1,127172,283.7,283.77,0,0,0,0,0,0,4,0,0,10/21/2020 7:42:21 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49852,QQQ,1603323741432,283.78,200,127173,283.7,283.77,0,0,0,0,0,0,5,0,0,10/21/2020 7:42:21 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49853,QQQ,1603323741432,283.77,200,127174,283.7,283.77,0,0,0,0,0,0,4,0,0,10/21/2020 7:42:21 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49854,QQQ,1603323741432,283.77,200,127175,283.7,283.77,0,0,0,0,0,0,4,0,0,10/21/2020 7:42:21 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49855,QQQ,1603323741432,283.78,200,127176,283.7,283.77,0,0,0,0,0,0,5,0,0,10/21/2020 7:42:21 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49856,QQQ,1603323741432,283.78,200,127177,283.7,283.77,0,0,0,0,0,0,5,0,0,10/21/2020 7:42:21 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49857,QQQ,1603323741442,283.78,1499,127178,283.7,283.77,0,0,0,0,0,0,5,0,0,10/21/2020 7:42:21 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49858,QQQ,1603323748025,283.68,200,127179,283.63,283.69,0,0,0,0,0,0,3,0,0,10/21/2020 7:42:28 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49859,QQQ,1603323749195,283.62,400,127180,283.63,283.68,0,0,0,0,0,0,1,0,0,10/21/2020 7:42:29 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49860,QQQ,1603323757561,283.6,5,127181,283.56,283.65,0,0,0,0,0,0,3,0,0,10/21/2020 7:42:37 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49861,QQQ,1603323759960,283.54,1,127182,283.51,283.61,0,0,0,0,0,0,3,0,0,10/21/2020 7:42:39 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49862,QQQ,1603323759960,283.54,1,127183,283.51,283.61,0,0,0,0,0,0,3,0,0,10/21/2020 7:42:39 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49863,QQQ,1603323769728,283.61,200,127184,283.55,283.65,0,0,0,0,0,0,3,0,0,10/21/2020 7:42:49 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49864,QQQ,1603323769888,283.63,500,127185,283.55,283.65,0,0,0,0,0,0,3,0,0,10/21/2020 7:42:49 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49865,QQQ,1603323786836,283.63,75,127186,283.57,283.63,0,0,0,0,0,0,4,0,0,10/21/2020 7:43:06 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49866,QQQ,1603323788912,283.57,5,127187,283.57,283.63,0,0,0,0,0,0,2,0,0,10/21/2020 7:43:08 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49867,QQQ,1603323789140,283.63,25,127188,283.57,283.63,0,0,0,0,0,0,4,0,0,10/21/2020 7:43:09 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49868,QQQ,1603323795709,283.57,600,127189,283.58,283.63,0,0,0,0,0,0,1,0,0,10/21/2020 7:43:15 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49869,QQQ,1603323795709,283.56,200,127190,283.58,283.63,0,0,0,0,0,0,1,0,0,10/21/2020 7:43:15 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49870,QQQ,1603323795710,283.57,200,127191,283.58,283.63,0,0,0,0,0,0,1,0,0,10/21/2020 7:43:15 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49871,QQQ,1603323795710,283.57,600,127192,283.58,283.63,0,0,0,0,0,0,1,0,0,10/21/2020 7:43:15 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
49872,QQQ,1603323795723,283.51,100,127193,283.58,283.63,0,0,0,0,0,0,1,0,0,10/21/2020 7:43:15 PM,1/1/1970 12:00:00 AM,1/1/1970 12:00:00 AM
